ID categoría,Dominio,Categoría,Proveedor representativo,Prioridad,Estado validación,Notas
C025,Cloud Security,Cloud-Native Application Protection Platform,Orca Security,Alta,Pendiente,
C025,Cloud Security,Cloud-Native Application Protection Platform,CrowdStrike,Alta,Pendiente,
C026,Cloud Security,Cloud Security Posture Management,Wiz,Alta,Pendiente,
C026,Cloud Security,Cloud Security Posture Management,Prisma Cloud,Alta,Pendiente,
C026,Cloud Security,Cloud Security Posture Management,Orca Security,Alta,Pendiente,
C026,Cloud Security,Cloud Security Posture Management,Microsoft Defender for Cloud,Alta,Pendiente,
C026,Cloud Security,Cloud Security Posture Management,Check Point,Alta,Pendiente,
C027,Cloud Security,Cloud Workload Protection,Palo Alto Networks,Alta,Pendiente,
C027,Cloud Security,Cloud Workload Protection,CrowdStrike,Alta,Pendiente,
C027,Cloud Security,Cloud Workload Protection,Trend Micro,Alta,Pendiente,
C027,Cloud Security,Cloud Workload Protection,Microsoft,Alta,Pendiente,
C027,Cloud Security,Cloud Workload Protection,Sysdig,Alta,Pendiente,
C028,Cloud Security,Cloud Infrastructure Entitlement Management,Microsoft,Media,Pendiente,
C028,Cloud Security,Cloud Infrastructure Entitlement Management,Palo Alto Networks,Media,Pendiente,
C028,Cloud Security,Cloud Infrastructure Entitlement Management,CyberArk,Media,Pendiente,
C028,Cloud Security,Cloud Infrastructure Entitlement Management,Sonrai Security,Media,Pendiente,
C028,Cloud Security,Cloud Infrastructure Entitlement Management,Ermetic,Media,Pendiente,
C029,Cloud Security,Kubernetes & Container Security,Aqua Security,Alta,Pendiente,
C029,Cloud Security,Kubernetes & Container Security,Sysdig,Alta,Pendiente,
C029,Cloud Security,Kubernetes & Container Security,Palo Alto Networks,Alta,Pendiente,
C029,Cloud Security,Kubernetes & Container Security,Red Hat,Alta,Pendiente,
C029,Cloud Security,Kubernetes & Container Security,Snyk,Alta,Pendiente,
C030,Cloud Security,Cloud Detection & Response,Wiz,Media,Pendiente,
C030,Cloud Security,Cloud Detection & Response,CrowdStrike,Media,Pendiente,
C030,Cloud Security,Cloud Detection & Response,Palo Alto Networks,Media,Pendiente,
C030,Cloud Security,Cloud Detection & Response,Microsoft,Media,Pendiente,
C030,Cloud Security,Cloud Detection & Response,SentinelOne,Media,Pendiente,
C031,Data Security,Data Loss Prevention,Microsoft,Alta,Pendiente,
C031,Data Security,Data Loss Prevention,Broadcom Symantec,Alta,Pendiente,
C031,Data Security,Data Loss Prevention,Forcepoint,Alta,Pendiente,
C031,Data Security,Data Loss Prevention,Trellix,Alta,Pendiente,
C031,Data Security,Data Loss Prevention,Netskope,Alta,Pendiente,
C031,Data Security,Data Loss Prevention,Proofpoint,Alta,Pendiente,
C032,Data Security,Data Security Posture Management,Cyera,Alta,Pendiente,
C032,Data Security,Data Security Posture Management,BigID,Alta,Pendiente,
C032,Data Security,Data Security Posture Management,Varonis,Alta,Pendiente,
C032,Data Security,Data Security Posture Management,Wiz,Alta,Pendiente,
C032,Data Security,Data Security Posture Management,Palo Alto Networks,Alta,Pendiente,
C032,Data Security,Data Security Posture Management,IBM,Alta,Pendiente,
C033,Data Security,Data Classification & Discovery,Microsoft Purview,Alta,Pendiente,
C033,Data Security,Data Classification & Discovery,BigID,Alta,Pendiente,
C033,Data Security,Data Classification & Discovery,Varonis,Alta,Pendiente,
C033,Data Security,Data Classification & Discovery,Fortra,Alta,Pendiente,
C033,Data Security,Data Classification & Discovery,Spirion,Alta,Pendiente,
C034,Data Security,Database Activity Monitoring,IBM Guardium,Media,Pendiente,
C034,Data Security,Database Activity Monitoring,Imperva,Media,Pendiente,
C034,Data Security,Database Activity Monitoring,Oracle,Media,Pendiente,
C034,Data Security,Database Activity Monitoring,Thales,Media,Pendiente,
C034,Data Security,Database Activity Monitoring,DataSunrise,Media,Pendiente,
C035,Data Security,Tokenization & Data Masking,Thales,Media,Pendiente,
C035,Data Security,Tokenization & Data Masking,Protegrity,Media,Pendiente,
C035,Data Security,Tokenization & Data Masking,comforte,Media,Pendiente,
C035,Data Security,Tokenization & Data Masking,IBM,Media,Pendiente,
C035,Data Security,Tokenization & Data Masking,Delphix,Media,Pendiente,
C036,Data Security,Enterprise Encryption,Thales,Alta,Pendiente,
C036,Data Security,Enterprise Encryption,Entrust,Alta,Pendiente,
C036,Data Security,Enterprise Encryption,IBM,Alta,Pendiente,
C036,Data Security,Enterprise Encryption,Microsoft,Alta,Pendiente,
C036,Data Security,Enterprise Encryption,Fortanix,Alta,Pendiente,
C036,Data Security,Enterprise Encryption,Protegrity,Alta,Pendiente,
C037,Data Security,Confidential Computing,Microsoft,Media,Pendiente,
C037,Data Security,Confidential Computing,Google Cloud,Media,Pendiente,
C037,Data Security,Confidential Computing,AWS,Media,Pendiente,
C037,Data Security,Confidential Computing,Intel,Media,Pendiente,
C037,Data Security,Confidential Computing,AMD,Media,Pendiente,
C037,Data Security,Confidential Computing,Fortanix,Media,Pendiente,
C038,Application Security,Static Application Security Testing,Checkmarx,Alta,Pendiente,
C038,Application Security,Static Application Security Testing,OpenText Fortify,Alta,Pendiente,
C038,Application Security,Static Application Security Testing,Veracode,Alta,Pendiente,
C038,Application Security,Static Application Security Testing,Synopsys,Alta,Pendiente,
C038,Application Security,Static Application Security Testing,Sonar,Alta,Pendiente,
C038,Application Security,Static Application Security Testing,Snyk,Alta,Pendiente,
C039,Application Security,Dynamic Application Security Testing,Invicti,Alta,Pendiente,
C039,Application Security,Dynamic Application Security Testing,Veracode,Alta,Pendiente,
C039,Application Security,Dynamic Application Security Testing,OpenText Fortify,Alta,Pendiente,
C039,Application Security,Dynamic Application Security Testing,Synopsys,Alta,Pendiente,
C039,Application Security,Dynamic Application Security Testing,Rapid7,Alta,Pendiente,
C040,Application Security,Software Composition Analysis,Snyk,Alta,Pendiente,
C040,Application Security,Software Composition Analysis,Synopsys,Alta,Pendiente,
C040,Application Security,Software Composition Analysis,Mend.io,Alta,Pendiente,
C040,Application Security,Software Composition Analysis,Sonatype,Alta,Pendiente,
C040,Application Security,Software Composition Analysis,JFrog,Alta,Pendiente,
C040,Application Security,Software Composition Analysis,GitHub,Alta,Pendiente,
C041,Application Security,Application Security Posture Management,ArmorCode,Alta,Pendiente,
C041,Application Security,Application Security Posture Management,Apiiro,Alta,Pendiente,
C041,Application Security,Application Security Posture Management,Legit Security,Alta,Pendiente,
C041,Application Security,Application Security Posture Management,Cycode,Alta,Pendiente,
C041,Application Security,Application Security Posture Management,Checkmarx,Alta,Pendiente,
C041,Application Security,Application Security Posture Management,Snyk,Alta,Pendiente,
C042,Application Security,API Security,Salt Security,Alta,Pendiente,
C042,Application Security,API Security,Noname Security,Alta,Pendiente,
C042,Application Security,API Security,Traceable,Alta,Pendiente,
C042,Application Security,API Security,Akamai,Alta,Pendiente,
C042,Application Security,API Security,Cloudflare,Alta,Pendiente,
C042,Application Security,API Security,Imperva,Alta,Pendiente,
C043,Application Security,Software Supply Chain Security,Chainguard,Alta,Pendiente,
C043,Application Security,Software Supply Chain Security,JFrog,Alta,Pendiente,
C043,Application Security,Software Supply Chain Security,GitHub,Alta,Pendiente,
C043,Application Security,Software Supply Chain Security,GitLab,Alta,Pendiente,
C043,Application Security,Software Supply Chain Security,Snyk,Alta,Pendiente,
C043,Application Security,Software Supply Chain Security,Sonatype,Alta,Pendiente,
C044,Application Security,Secrets Management,HashiCorp Vault,Alta,Pendiente,
C044,Application Security,Secrets Management,CyberArk,Alta,Pendiente,
C044,Application Security,Secrets Management,Akeyless,Alta,Pendiente,
C044,Application Security,Secrets Management,AWS,Alta,Pendiente,
C044,Application Security,Secrets Management,Azure Key Vault,Alta,Pendiente,
C044,Application Security,Secrets Management,Google Cloud,Alta,Pendiente,
C045,Application Security,Runtime Application Self-Protection,Contrast Security,Media,Pendiente,
C045,Application Security,Runtime Application Self-Protection,OpenText,Media,Pendiente,
C045,Application Security,Runtime Application Self-Protection,Imperva,Media,Pendiente,
C045,Application Security,Runtime Application Self-Protection,Veracode,Media,Pendiente,
C046,Application Security,Web Application Security Testing,Pentera,Media,Pendiente,
C046,Application Security,Web Application Security Testing,Horizon3.ai,Media,Pendiente,
C046,Application Security,Web Application Security Testing,Detectify,Media,Pendiente,
C046,Application Security,Web Application Security Testing,Intruder,Media,Pendiente,
C046,Application Security,Web Application Security Testing,Rapid7,Media,Pendiente,
C047,Security Operations,Security Information & Event Management,Microsoft Sentinel,Alta,Pendiente,
C047,Security Operations,Security Information & Event Management,Splunk,Alta,Pendiente,
C047,Security Operations,Security Information & Event Management,Google Security Operations,Alta,Pendiente,
C047,Security Operations,Security Information & Event Management,IBM QRadar,Alta,Pendiente,
C047,Security Operations,Security Information & Event Management,Elastic,Alta,Pendiente,
C047,Security Operations,Security Information & Event Management,Exabeam,Alta,Pendiente,
C048,Security Operations,Security Orchestration Automation & Response,Palo Alto Cortex XSOAR,Alta,Pendiente,
C048,Security Operations,Security Orchestration Automation & Response,Splunk SOAR,Alta,Pendiente,
C048,Security Operations,Security Orchestration Automation & Response,IBM,Alta,Pendiente,
C048,Security Operations,Security Orchestration Automation & Response,Tines,Alta,Pendiente,
C048,Security Operations,Security Orchestration Automation & Response,Swimlane,Alta,Pendiente,
C048,Security Operations,Security Orchestration Automation & Response,Torq,Alta,Pendiente,
C049,Security Operations,Security Operations Platform,Microsoft,Alta,Pendiente,
C049,Security Operations,Security Operations Platform,Palo Alto Networks,Alta,Pendiente,
C049,Security Operations,Security Operations Platform,CrowdStrike,Alta,Pendiente,
C049,Security Operations,Security Operations Platform,Google,Alta,Pendiente,
C049,Security Operations,Security Operations Platform,Cisco,Alta,Pendiente,
C049,Security Operations,Security Operations Platform,Fortinet,Alta,Pendiente,
C050,Security Operations,Detection Engineering,SOC Prime,Alta,Pendiente,
C050,Security Operations,Detection Engineering,Anvilogic,Alta,Pendiente,
C050,Security Operations,Detection Engineering,Panther,Alta,Pendiente,
C050,Security Operations,Detection Engineering,CardinalOps,Alta,Pendiente,
C050,Security Operations,Detection Engineering,Hunters,Alta,Pendiente,
C051,Security Operations,Security Automation,Tines,Alta,Pendiente,
C051,Security Operations,Security Automation,Torq,Alta,Pendiente,
C051,Security Operations,Security Automation,Swimlane,Alta,Pendiente,
C051,Security Operations,Security Automation,Blink Ops,Alta,Pendiente,
C051,Security Operations,Security Automation,Shuffle,Alta,Pendiente,
C052,Security Operations,User & Entity Behavior Analytics,Exabeam,Media,Pendiente,
C052,Security Operations,User & Entity Behavior Analytics,Securonix,Media,Pendiente,
C052,Security Operations,User & Entity Behavior Analytics,Microsoft,Media,Pendiente,
C052,Security Operations,User & Entity Behavior Analytics,Splunk,Media,Pendiente,
C052,Security Operations,User & Entity Behavior Analytics,Gurucul,Media,Pendiente,
C053,Security Operations,Digital Forensics & Incident Response Platforms,Magnet Forensics,Media,Pendiente,
C053,Security Operations,Digital Forensics & Incident Response Platforms,OpenText EnCase,Media,Pendiente,
C053,Security Operations,Digital Forensics & Incident Response Platforms,Cellebrite,Media,Pendiente,
C053,Security Operations,Digital Forensics & Incident Response Platforms,Exterro,Media,Pendiente,
C053,Security Operations,Digital Forensics & Incident Response Platforms,IBM,Media,Pendiente,
C054,Security Operations,Security Case Management,ServiceNow,Media,Pendiente,
C054,Security Operations,Security Case Management,TheHive,Media,Pendiente,
C054,Security Operations,Security Case Management,Palo Alto Networks,Media,Pendiente,
C054,Security Operations,Security Case Management,IBM,Media,Pendiente,
C054,Security Operations,Security Case Management,Swimlane,Media,Pendiente,
C055,Threat Intelligence,Threat Intelligence Platform,ThreatConnect,Alta,Pendiente,
C055,Threat Intelligence,Threat Intelligence Platform,Anomali,Alta,Pendiente,
C055,Threat Intelligence,Threat Intelligence Platform,Recorded Future,Alta,Pendiente,
C055,Threat Intelligence,Threat Intelligence Platform,Mandiant,Alta,Pendiente,
C055,Threat Intelligence,Threat Intelligence Platform,EclecticIQ,Alta,Pendiente,
C055,Threat Intelligence,Threat Intelligence Platform,OpenCTI,Alta,Pendiente,
C056,Threat Intelligence,Commercial Threat Intelligence,Recorded Future,Alta,Pendiente,
C056,Threat Intelligence,Commercial Threat Intelligence,Mandiant,Alta,Pendiente,
C056,Threat Intelligence,Commercial Threat Intelligence,Flashpoint,Alta,Pendiente,
C056,Threat Intelligence,Commercial Threat Intelligence,Intel 471,Alta,Pendiente,
C056,Threat Intelligence,Commercial Threat Intelligence,CrowdStrike,Alta,Pendiente,
C056,Threat Intelligence,Commercial Threat Intelligence,KELA,Alta,Pendiente,
C057,Threat Intelligence,Open Source Threat Intelligence,MISP,Alta,Pendiente,
C057,Threat Intelligence,Open Source Threat Intelligence,OpenCTI,Alta,Pendiente,
C057,Threat Intelligence,Open Source Threat Intelligence,AlienVault OTX,Alta,Pendiente,
C057,Threat Intelligence,Open Source Threat Intelligence,Abuse.ch,Alta,Pendiente,
C057,Threat Intelligence,Open Source Threat Intelligence,CIRCL,Alta,Pendiente,
C057,Threat Intelligence,Open Source Threat Intelligence,CERTs,Alta,Pendiente,
C058,Threat Intelligence,Digital Risk Protection Intelligence,Flashpoint,Alta,Pendiente,
C058,Threat Intelligence,Digital Risk Protection Intelligence,Recorded Future,Alta,Pendiente,
C058,Threat Intelligence,Digital Risk Protection Intelligence,KELA,Alta,Pendiente,
C058,Threat Intelligence,Digital Risk Protection Intelligence,SOCRadar,Alta,Pendiente,
C058,Threat Intelligence,Digital Risk Protection Intelligence,Cybersixgill,Alta,Pendiente,
C058,Threat Intelligence,Digital Risk Protection Intelligence,Group-IB,Alta,Pendiente,
C059,Threat Intelligence,Malware Intelligence,VirusTotal,Alta,Pendiente,
C059,Threat Intelligence,Malware Intelligence,ANY.RUN,Alta,Pendiente,
C059,Threat Intelligence,Malware Intelligence,Joe Sandbox,Alta,Pendiente,
C059,Threat Intelligence,Malware Intelligence,Recorded Future,Alta,Pendiente,
C059,Threat Intelligence,Malware Intelligence,Intezer,Alta,Pendiente,
C059,Threat Intelligence,Malware Intelligence,ReversingLabs,Alta,Pendiente,
C060,Threat Intelligence,Brand & Domain Intelligence,Bolster,Media,Pendiente,
C060,Threat Intelligence,Brand & Domain Intelligence,ZeroFox,Media,Pendiente,
C060,Threat Intelligence,Brand & Domain Intelligence,Proofpoint,Media,Pendiente,
C060,Threat Intelligence,Brand & Domain Intelligence,Recorded Future,Media,Pendiente,
C060,Threat Intelligence,Brand & Domain Intelligence,Red Points,Media,Pendiente,
C061,Exposure Management,External Attack Surface Management,Palo Alto Networks,Alta,Pendiente,
C061,Exposure Management,External Attack Surface Management,Microsoft,Alta,Pendiente,
C061,Exposure Management,External Attack Surface Management,CyCognito,Alta,Pendiente,
C061,Exposure Management,External Attack Surface Management,Censys,Alta,Pendiente,
C061,Exposure Management,External Attack Surface Management,Rapid7,Alta,Pendiente,
C061,Exposure Management,External Attack Surface Management,Tenable,Alta,Pendiente,
C062,Exposure Management,Continuous Threat Exposure Management,Tenable,Alta,Pendiente,
C062,Exposure Management,Continuous Threat Exposure Management,Qualys,Alta,Pendiente,
C062,Exposure Management,Continuous Threat Exposure Management,Rapid7,Alta,Pendiente,
C062,Exposure Management,Continuous Threat Exposure Management,XM Cyber,Alta,Pendiente,
C062,Exposure Management,Continuous Threat Exposure Management,Picus,Alta,Pendiente,
C062,Exposure Management,Continuous Threat Exposure Management,Cymulate,Alta,Pendiente,
C063,Exposure Management,Vulnerability Management,Tenable,Alta,Pendiente,
C063,Exposure Management,Vulnerability Management,Qualys,Alta,Pendiente,
C063,Exposure Management,Vulnerability Management,Rapid7,Alta,Pendiente,
C063,Exposure Management,Vulnerability Management,Microsoft,Alta,Pendiente,
C063,Exposure Management,Vulnerability Management,Greenbone,Alta,Pendiente,
C064,Exposure Management,Risk-Based Vulnerability Management,Tenable,Alta,Pendiente,
C064,Exposure Management,Risk-Based Vulnerability Management,Qualys,Alta,Pendiente,
C064,Exposure Management,Risk-Based Vulnerability Management,Rapid7,Alta,Pendiente,
C064,Exposure Management,Risk-Based Vulnerability Management,Nucleus Security,Alta,Pendiente,
C064,Exposure Management,Risk-Based Vulnerability Management,Vulcan Cyber,Alta,Pendiente,
C064,Exposure Management,Risk-Based Vulnerability Management,Brinqa,Alta,Pendiente,
C065,Exposure Management,Breach & Attack Simulation,Cymulate,Alta,Pendiente,
C065,Exposure Management,Breach & Attack Simulation,Picus,Alta,Pendiente,
C065,Exposure Management,Breach & Attack Simulation,SafeBreach,Alta,Pendiente,
C065,Exposure Management,Breach & Attack Simulation,AttackIQ,Alta,Pendiente,
C065,Exposure Management,Breach & Attack Simulation,Pentera,Alta,Pendiente,
C066,Exposure Management,Automated Security Validation,Pentera,Alta,Pendiente,
C066,Exposure Management,Automated Security Validation,Horizon3.ai,Alta,Pendiente,
C066,Exposure Management,Automated Security Validation,Picus,Alta,Pendiente,
C066,Exposure Management,Automated Security Validation,Cymulate,Alta,Pendiente,
C066,Exposure Management,Automated Security Validation,SafeBreach,Alta,Pendiente,
C067,Exposure Management,Cyber Asset Attack Surface Management,Axonius,Alta,Pendiente,
C067,Exposure Management,Cyber Asset Attack Surface Management,JupiterOne,Alta,Pendiente,
C067,Exposure Management,Cyber Asset Attack Surface Management,Armis,Alta,Pendiente,
C067,Exposure Management,Cyber Asset Attack Surface Management,runZero,Alta,Pendiente,
C067,Exposure Management,Cyber Asset Attack Surface Management,Noetic Cyber,Alta,Pendiente,
C068,Exposure Management,Security Ratings,SecurityScorecard,Media,Pendiente,
C068,Exposure Management,Security Ratings,BitSight,Media,Pendiente,
C068,Exposure Management,Security Ratings,UpGuard,Media,Pendiente,
C068,Exposure Management,Security Ratings,Black Kite,Media,Pendiente,
C068,Exposure Management,Security Ratings,RiskRecon,Media,Pendiente,
C069,"Governance, Risk & Compliance",Enterprise GRC,ServiceNow,Alta,Pendiente,
C069,"Governance, Risk & Compliance",Enterprise GRC,Archer,Alta,Pendiente,
