ID categoría,ID dominio,Dominio,Categoría tecnológica,Objetivo,Tipo de análisis,Prioridad
C083,D12,AI Security,AI Runtime Security,Protección de aplicaciones y agentes en ejecución,Emerging Market,Alta
C084,D12,AI Security,LLM / GenAI Red Teaming,Evaluación adversarial de modelos y aplicaciones,Emerging Market,Alta
C085,D12,AI Security,AI Governance Platforms,"Inventario, políticas, evidencias y cumplimiento AI Act",Emerging Market,Alta
C086,D12,AI Security,AI Gateway & Model Firewall,"Control, observabilidad y seguridad de acceso a modelos",Emerging Market,Alta
C087,D12,AI Security,Model Supply Chain Security,"Integridad de modelos, datasets y artefactos ML",Emerging Market,Media
C088,D13,OT / IoT / CPS Security,OT Security Platform,"Visibilidad, segmentación y detección industrial",Magic Quadrant,Alta
C089,D13,OT / IoT / CPS Security,OT Network Detection & Response,Detección de amenazas en redes industriales,Market Guide,Alta
C090,D13,OT / IoT / CPS Security,IoT Security,Descubrimiento y protección de dispositivos IoT,Market Guide,Alta
C091,D13,OT / IoT / CPS Security,Medical Device Security,Inventario y riesgo de dispositivos médicos,Market Guide,Media
C092,D13,OT / IoT / CPS Security,Automotive Cybersecurity,Seguridad de vehículos conectados y software,Market Guide,Media
C093,D14,Email & Collaboration Security,Email Security,"Protección de correo, phishing y malware",Magic Quadrant,Alta
C094,D14,Email & Collaboration Security,Integrated Cloud Email Security,Seguridad API para Microsoft 365 y Google Workspace,Market Guide,Alta
C095,D14,Email & Collaboration Security,DMARC & Domain Protection,Autenticación y protección del dominio de correo,Market Guide,Media
C096,D14,Email & Collaboration Security,Collaboration Security,"Protección de Teams, Slack, Drive y colaboración",Emerging Market,Media
C097,D15,Digital Risk & Fraud,Fraud Detection & Prevention,Detección de fraude digital y transaccional,Magic Quadrant,Alta
C098,D15,Digital Risk & Fraud,Account Takeover Prevention,Protección frente a secuestro de cuentas,Market Guide,Alta
C099,D15,Digital Risk & Fraud,Bot Management,Detección y mitigación de bots maliciosos,Magic Quadrant,Alta
C100,D15,Digital Risk & Fraud,Brand Protection,Detección y retirada de abuso de marca,Market Guide,Media
C101,D16,Managed Security Services,Managed Detection & Response,Detección y respuesta operada 24x7,Magic Quadrant,Alta
C102,D16,Managed Security Services,Managed SIEM / SOC,Operación gestionada de SIEM y SOC,Market Guide,Alta
C103,D16,Managed Security Services,Managed Cloud Security,Operación y protección cloud gestionada,Market Guide,Media
C104,D16,Managed Security Services,Incident Response Retainer,Respuesta a incidentes bajo retainer,Market Guide,Alta
C105,D17,Hardware Security,Hardware Security Module,Generación y custodia de claves en hardware,Market Guide,Alta
C106,D17,Hardware Security,Trusted Platform Module,Raíz de confianza de dispositivo,Standards Ecosystem,Media
C107,D17,Hardware Security,Secure Enclave / TEE,Ejecución aislada y protección de secretos,Emerging Market,Media
C108,D17,Hardware Security,Smart Cards & Security Tokens,Autenticación y firma mediante hardware,Market Guide,Media
C109,D18,Enterprise Cryptography,Enterprise Key Management,Gestión centralizada del ciclo de vida de claves,Market Guide,Alta
C110,D18,Enterprise Cryptography,Public Key Infrastructure,"Emisión, validación y gobierno de certificados",Market Guide,Alta
C111,D18,Enterprise Cryptography,Certificate Lifecycle Management,Descubrimiento y automatización de certificados,Market Guide,Alta
C112,D18,Enterprise Cryptography,Secrets Management,Custodia y rotación de secretos,Market Guide,Alta
C113,D18,Enterprise Cryptography,Code Signing,Firma y protección de software y artefactos,Market Guide,Media
C114,D18,Enterprise Cryptography,Crypto Agility Management,Inventario criptográfico y migración algorítmica,Emerging Market,Alta
C115,D19,Post-Quantum Security,Post-Quantum Cryptography Discovery,Descubrimiento de criptografía vulnerable,Emerging Market,Alta
C116,D19,Post-Quantum Security,PQC Migration & Crypto Agility,Planificación y ejecución de migración poscuántica,Emerging Market,Alta
C117,D19,Post-Quantum Security,Quantum Key Distribution,Distribución cuántica de claves,Specialized Market,Media
C118,D19,Post-Quantum Security,Quantum Random Number Generation,Generación cuántica de aleatoriedad,Specialized Market,Media
C119,D20,Security Consulting & Assurance,Cybersecurity Consulting,"Estrategia, arquitectura y transformación",Market Guide,Alta
C120,D20,Security Consulting & Assurance,Penetration Testing & Red Teaming,Pruebas ofensivas y validación humana,Market Guide,Alta
C121,D20,Security Consulting & Assurance,Cybersecurity Audit & Certification,Auditoría y certificación de controles y normas,Standards Ecosystem,Alta
C122,D20,Security Consulting & Assurance,Digital Forensics,Forense digital y soporte pericial,Market Guide,Media
