Proveedor,Producto,Campo,Valor
Wiz,Wiz CNAPP,support_languages,"EN, JP"
Wiz,Wiz CNAPP,founded_year,2020
Wiz,Wiz CNAPP,hq_location,"New York, NY, USA"
Fortinet,FortiGate,pricing_model,Per appliance + FortiGuard subscription/year
Fortinet,FortiGate,pricing_range,Contact sales ($500-$500K+ depending on model)
Fortinet,FortiGate,encryption_algorithms,"AES-256-GCM, AES-256-CBC, 3DES, ChaCha20-Poly1305, ARIA-256"
Fortinet,FortiGate,api_docs_url,https://fndn.fortinet.net/index.php?/fortiapi/1-fortios/
Fortinet,FortiGate,supported_clouds,"AWS, Azure, GCP, OCI (FortiGate-VM)"
Fortinet,FortiGate,min_deployment_size,1 appliance (FortiGate 40F)
Fortinet,FortiGate,free_trial,No (demo available)
Fortinet,FortiGate,support_languages,"EN, ES, FR, DE, JP, KO, ZH, PT"
Fortinet,FortiGate,founded_year,2000
Fortinet,FortiGate,hq_location,"Sunnyvale, CA, USA"
Splunk,Enterprise Security,pricing_model,Per GB ingested/day or per workload
Splunk,Enterprise Security,pricing_range,"$2K-$150K+/year, workload pricing from Splunk Cloud"
Splunk,Enterprise Security,encryption_algorithms,"AES-256-CBC, TLS 1.2/1.3, RSA-2048"
Splunk,Enterprise Security,api_docs_url,https://docs.splunk.com/Documentation/Splunk/latest/RESTREF/RESTprolog
Splunk,Enterprise Security,supported_clouds,"AWS, Azure, GCP (Splunk Cloud)"
Splunk,Enterprise Security,min_deployment_size,1 GB/day ingestion
Splunk,Enterprise Security,free_trial,Yes (60 days Splunk Cloud)
Splunk,Enterprise Security,support_languages,"EN, JP, KO, ZH, DE, FR"
Splunk,Enterprise Security,founded_year,2003
Splunk,Enterprise Security,hq_location,"San Francisco, CA, USA"
Thales,Luna Network HSM,pricing_model,Per appliance (perpetual + support)
Thales,Luna Network HSM,pricing_range,"$20K-$80K per appliance, annual support ~18%"
Thales,Luna Network HSM,encryption_algorithms,"AES-256, RSA-4096, ECC P-521, 3DES, HMAC-SHA-512, Ed25519"
Thales,Luna Network HSM,api_docs_url,https://thalesdocs.com/gphsm/luna/7/docs/network/Content/Home_Luna.htm
Thales,Luna Network HSM,supported_clouds,"AWS CloudHSM (compatible), Azure, Any (network-attached)"
Thales,Luna Network HSM,min_deployment_size,1 HSM appliance
Thales,Luna Network HSM,free_trial,No (DPoD cloud HSM trial available)
Thales,Luna Network HSM,support_languages,"EN, FR, DE, JP"
Thales,Luna Network HSM,founded_year,2000
Thales,Luna Network HSM,hq_location,"Paris, France"
CyberArk,Privileged Access Manager,pricing_model,Per user/year (self-hosted) or per user/month (Privilege Cloud)
CyberArk,Privileged Access Manager,pricing_range,Contact sales (~$50-100/user/month)
CyberArk,Privileged Access Manager,encryption_algorithms,"AES-256, RSA-2048, TLS 1.2/1.3"
CyberArk,Privileged Access Manager,api_docs_url,https://docs.cyberark.com/pam-self-hosted/latest/en/Content/WebServices/Implementing%20Privileged%20Account%20Security%20Web%20Services%20.htm
CyberArk,Privileged Access Manager,supported_clouds,"AWS, Azure, GCP"
CyberArk,Privileged Access Manager,min_deployment_size,50 privileged accounts (typical)
CyberArk,Privileged Access Manager,free_trial,Yes (30 days Privilege Cloud)
CyberArk,Privileged Access Manager,support_languages,"EN, DE, FR, JP, ES, KO, ZH"
CyberArk,Privileged Access Manager,founded_year,1999
CyberArk,Privileged Access Manager,hq_location,"Newton, MA, USA (HQ); Petah Tikva, Israel (founded)"
Okta,Workforce Identity Cloud,pricing_model,Per user/month
Okta,Workforce Identity Cloud,pricing_range,"$2-6/user/month (SSO); $3-9/user/month (Adaptive MFA), bundles available"
Okta,Workforce Identity Cloud,encryption_algorithms,"AES-256, RSA-2048, TLS 1.2/1.3"
Okta,Workforce Identity Cloud,api_docs_url,https://developer.okta.com/docs/reference/
Okta,Workforce Identity Cloud,supported_clouds,"AWS, Azure, GCP, Any (SAML/OIDC)"
Okta,Workforce Identity Cloud,min_deployment_size,1 user
Okta,Workforce Identity Cloud,free_trial,Yes (30 days)
Okta,Workforce Identity Cloud,support_languages,"EN, DE, FR, JP, ES, NL, IT, KO, ZH, PT"
Okta,Workforce Identity Cloud,founded_year,2009
Okta,Workforce Identity Cloud,hq_location,"San Francisco, CA, USA"
SailPoint,Identity Security Cloud,pricing_model,Per identity/year
SailPoint,Identity Security Cloud,pricing_range,Contact sales (~$12-25/identity/year)
SailPoint,Identity Security Cloud,encryption_algorithms,"AES-256, TLS 1.2/1.3"
SailPoint,Identity Security Cloud,api_docs_url,https://developer.sailpoint.com/docs/
SailPoint,Identity Security Cloud,supported_clouds,"AWS, Azure, GCP, Any"
SailPoint,Identity Security Cloud,min_deployment_size,500 identities (typical minimum)
SailPoint,Identity Security Cloud,free_trial,No (PoC available)
SailPoint,Identity Security Cloud,support_languages,"EN, DE, FR, ES, JP, PT"
SailPoint,Identity Security Cloud,founded_year,2005
SailPoint,Identity Security Cloud,hq_location,"Austin, TX, USA"
Netskope,Netskope One SSE,pricing_model,Per user/year
Netskope,Netskope One SSE,pricing_range,Contact sales (~$80-150/user/year)
Netskope,Netskope One SSE,encryption_algorithms,"AES-256-GCM, TLS 1.3, ChaCha20-Poly1305"
Netskope,Netskope One SSE,api_docs_url,https://docs.netskope.com/en/netskope-help/admin-console/rest-api/rest-api-v2-overview/
Netskope,Netskope One SSE,supported_clouds,"AWS, Azure, GCP"
Netskope,Netskope One SSE,min_deployment_size,100 users (typical)
Netskope,Netskope One SSE,free_trial,No (PoC available)
Netskope,Netskope One SSE,support_languages,"EN, JP, FR, DE, ES"
Netskope,Netskope One SSE,founded_year,2012
Netskope,Netskope One SSE,hq_location,"Santa Clara, CA, USA"
Tenable,Nessus Professional,pricing_model,Per scanner/year
Tenable,Nessus Professional,pricing_range,"$3,990/year (Professional), $5,990/year (Expert)"
Tenable,Nessus Professional,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Tenable,Nessus Professional,api_docs_url,https://developer.tenable.com/reference/nessus-api
Tenable,Nessus Professional,supported_clouds,"Any (scanner deploys anywhere)"
Tenable,Nessus Professional,min_deployment_size,1 scanner (16 IPs free for Essentials)
Tenable,Nessus Professional,free_trial,Yes (7 days Professional)
Tenable,Nessus Professional,support_languages,"EN, JP, ZH, KO, DE, FR"
Tenable,Nessus Professional,founded_year,2002
Tenable,Nessus Professional,hq_location,"Columbia, MD, USA"
Qualys,VMDR,pricing_model,Per asset/year
Qualys,VMDR,pricing_range,Contact sales (~$2-8/asset/year depending on volume)
Qualys,VMDR,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Qualys,VMDR,api_docs_url,https://www.qualys.com/docs/qualys-api-vmpc-user-guide.pdf
Qualys,VMDR,supported_clouds,"AWS, Azure, GCP, Any"
Qualys,VMDR,min_deployment_size,1 asset (cloud agents)
Qualys,VMDR,free_trial,Yes (30 days Community Edition for small environments)
Qualys,VMDR,support_languages,"EN, DE, FR, ES, JP, KO, ZH"
Qualys,VMDR,founded_year,1999
Qualys,VMDR,hq_location,"Foster City, CA, USA"
Rapid7,InsightVM,pricing_model,Per asset/year
Rapid7,InsightVM,pricing_range,$2-14/asset/month (volume-dependent)
Rapid7,InsightVM,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Rapid7,InsightVM,api_docs_url,https://help.rapid7.com/insightvm/en-us/api/index.html
Rapid7,InsightVM,supported_clouds,"AWS, Azure, GCP"
Rapid7,InsightVM,min_deployment_size,250 assets (typical minimum)
Rapid7,InsightVM,free_trial,Yes (30 days)
Rapid7,InsightVM,support_languages,"EN, JP, DE"
Rapid7,InsightVM,founded_year,2000
Rapid7,InsightVM,hq_location,"Boston, MA, USA"
IBM,QRadar SIEM,pricing_model,Per EPS (events per second) / per FPM (flows per minute)
IBM,QRadar SIEM,pricing_range,Contact sales (~$20K-$500K+/year depending on EPS)
IBM,QRadar SIEM,encryption_algorithms,"AES-256, TLS 1.2/1.3, RSA-2048"
IBM,QRadar SIEM,api_docs_url,https://www.ibm.com/docs/en/qsip/7.5?topic=api-restful-overview
IBM,QRadar SIEM,supported_clouds,"AWS, Azure, IBM Cloud (QRadar on Cloud)"
IBM,QRadar SIEM,min_deployment_size,1 appliance or VM (Community Edition free up to 50 EPS)
IBM,QRadar SIEM,free_trial,Community edition (free up to 50 EPS)
IBM,QRadar SIEM,support_languages,"EN, ES, FR, DE, IT, PT, JP, KO, ZH"
IBM,QRadar SIEM,founded_year,1911
IBM,QRadar SIEM,hq_location,"Armonk, NY, USA"
HashiCorp,Vault,pricing_model,"Open source free; Enterprise per node/year; HCP Vault per hour"
HashiCorp,Vault,pricing_range,"Free (OSS); HCP Vault from $0.03/hr; Enterprise contact sales"
HashiCorp,Vault,encryption_algorithms,"AES-256-GCM, ChaCha20-Poly1305, RSA-4096, Ed25519, ECDSA P-256"
HashiCorp,Vault,api_docs_url,https://developer.hashicorp.com/vault/api-docs
HashiCorp,Vault,supported_clouds,"AWS, Azure, GCP, Any"
HashiCorp,Vault,min_deployment_size,1 instance (dev mode)
HashiCorp,Vault,free_trial,Free (open source); HCP Vault free tier available
HashiCorp,Vault,support_languages,EN
HashiCorp,Vault,founded_year,2012
HashiCorp,Vault,hq_location,"San Francisco, CA, USA"
Recorded Future,Intelligence Cloud,pricing_model,Per module/year
Recorded Future,Intelligence Cloud,pricing_range,"Contact sales (~$50K-$500K+/year), free Analyst Community"
Recorded Future,Intelligence Cloud,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Recorded Future,Intelligence Cloud,api_docs_url,https://api.recordedfuture.com/index.html
Recorded Future,Intelligence Cloud,supported_clouds,Any (SaaS)
Recorded Future,Intelligence Cloud,min_deployment_size,1 module subscription
Recorded Future,Intelligence Cloud,free_trial,Free tier (Analyst Community)
Recorded Future,Intelligence Cloud,support_languages,"EN, JP"
Recorded Future,Intelligence Cloud,founded_year,2009
Recorded Future,Intelligence Cloud,hq_location,"Boston, MA, USA"
ServiceNow,Security Operations (SecOps),pricing_model,Per subscription unit/year
ServiceNow,Security Operations (SecOps),pricing_range,Contact sales (~$50K-$500K+/year)
ServiceNow,Security Operations (SecOps),encryption_algorithms,"AES-256, TLS 1.2/1.3, RSA-2048"
ServiceNow,Security Operations (SecOps),api_docs_url,https://developer.servicenow.com/dev.do#!/reference
ServiceNow,Security Operations (SecOps),supported_clouds,Any (SaaS platform)
ServiceNow,Security Operations (SecOps),min_deployment_size,1 ServiceNow instance
ServiceNow,Security Operations (SecOps),free_trial,Yes (Personal Developer Instance)
ServiceNow,Security Operations (SecOps),support_languages,"EN, ES, FR, DE, IT, PT, JP, KO, ZH, NL"
ServiceNow,Security Operations (SecOps),founded_year,2004
ServiceNow,Security Operations (SecOps),hq_location,"Santa Clara, CA, USA"
OneTrust,Privacy Management,pricing_model,Per module/year
OneTrust,Privacy Management,pricing_range,Contact sales (~$30K-$200K+/year)
OneTrust,Privacy Management,encryption_algorithms,"AES-256, TLS 1.2/1.3"
OneTrust,Privacy Management,api_docs_url,https://developer.onetrust.com/
OneTrust,Privacy Management,supported_clouds,Any (SaaS)
OneTrust,Privacy Management,min_deployment_size,1 organization
OneTrust,Privacy Management,free_trial,No (demo available)
OneTrust,Privacy Management,support_languages,"EN, ES, FR, DE, IT, PT, JP, NL, SV, DA, PL"
OneTrust,Privacy Management,founded_year,2016
OneTrust,Privacy Management,hq_location,"Atlanta, GA, USA"
Snyk,Snyk Code,pricing_model,Per developer/month
Snyk,Snyk Code,pricing_range,"Free (limited scans); Team $25/developer/month; Enterprise contact sales"
Snyk,Snyk Code,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Snyk,Snyk Code,api_docs_url,https://docs.snyk.io/snyk-api
Snyk,Snyk Code,supported_clouds,"AWS, Azure, GCP, Any (CI/CD integration)"
Snyk,Snyk Code,min_deployment_size,1 developer
Snyk,Snyk Code,free_trial,Free tier (up to 200 tests/month)
Snyk,Snyk Code,support_languages,"EN"
Snyk,Snyk Code,founded_year,2015
Snyk,Snyk Code,hq_location,"Boston, MA, USA"
Drata,Compliance Automation,pricing_model,Per framework/year
Drata,Compliance Automation,pricing_range,"Starting ~$10K/year (Startup), up to $50K+ (Enterprise)"
Drata,Compliance Automation,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Drata,Compliance Automation,api_docs_url,https://developers.drata.com/docs/
Drata,Compliance Automation,supported_clouds,"AWS, Azure, GCP"
Drata,Compliance Automation,min_deployment_size,1 organization
Drata,Compliance Automation,free_trial,No (demo available)
Drata,Compliance Automation,support_languages,"EN"
Drata,Compliance Automation,founded_year,2020
Drata,Compliance Automation,hq_location,"San Diego, CA, USA"
Aqua Security,Aqua Platform,pricing_model,Per workload/year
Aqua Security,Aqua Platform,pricing_range,Contact sales (~$5-15/workload/month)
Aqua Security,Aqua Platform,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Aqua Security,Aqua Platform,api_docs_url,https://docs.aquasec.com/reference/
Aqua Security,Aqua Platform,supported_clouds,"AWS, Azure, GCP, Any (Kubernetes)"
Aqua Security,Aqua Platform,min_deployment_size,1 Kubernetes cluster
Aqua Security,Aqua Platform,free_trial,Yes (30 days)
Aqua Security,Aqua Platform,support_languages,"EN, JP"
Aqua Security,Aqua Platform,founded_year,2015
Aqua Security,Aqua Platform,hq_location,"Ramat Gan, Israel"
Sysdig,Sysdig Secure,pricing_model,Per node/month
Sysdig,Sysdig Secure,pricing_range,$20-55/node/month (volume-dependent)
Sysdig,Sysdig Secure,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Sysdig,Sysdig Secure,api_docs_url,https://docs.sysdig.com/en/docs/developer-tools/sysdig-api/
Sysdig,Sysdig Secure,supported_clouds,"AWS, Azure, GCP, Any (Kubernetes)"
Sysdig,Sysdig Secure,min_deployment_size,1 node
Sysdig,Sysdig Secure,free_trial,Yes (30 days)
Sysdig,Sysdig Secure,support_languages,"EN, JP"
Sysdig,Sysdig Secure,founded_year,2013
Sysdig,Sysdig Secure,hq_location,"San Francisco, CA, USA"
Darktrace,Darktrace DETECT,pricing_model,Per device or per user/year
Darktrace,Darktrace DETECT,pricing_range,Contact sales (~$30K-$300K+/year)
Darktrace,Darktrace DETECT,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Darktrace,Darktrace DETECT,api_docs_url,https://customerportal.darktrace.com/product-guides/main/api-intro
Darktrace,Darktrace DETECT,supported_clouds,"AWS, Azure, GCP"
Darktrace,Darktrace DETECT,min_deployment_size,1 appliance or virtual sensor
Darktrace,Darktrace DETECT,free_trial,Yes (30 days PoV)
Darktrace,Darktrace DETECT,support_languages,"EN, DE, FR, ES, JP"
Darktrace,Darktrace DETECT,founded_year,2013
Darktrace,Darktrace DETECT,hq_location,"Cambridge, United Kingdom"
Vectra AI,Vectra NDR,pricing_model,Per IP address/year
Vectra AI,Vectra NDR,pricing_range,Contact sales (~$30-60/IP/year)
Vectra AI,Vectra NDR,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Vectra AI,Vectra NDR,api_docs_url,https://support.vectra.ai/s/article/KB-VS-1565
Vectra AI,Vectra NDR,supported_clouds,"AWS, Azure, GCP"
Vectra AI,Vectra NDR,min_deployment_size,1 sensor (virtual or physical)
Vectra AI,Vectra NDR,free_trial,No (PoC available)
Vectra AI,Vectra NDR,support_languages,"EN, DE, FR"
Vectra AI,Vectra NDR,founded_year,2012
Vectra AI,Vectra NDR,hq_location,"San Jose, CA, USA"
Arctic Wolf,Managed Detection & Response,pricing_model,Per user/year (managed service)
Arctic Wolf,Managed Detection & Response,pricing_range,Contact sales (~$25-50/user/month)
Arctic Wolf,Managed Detection & Response,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Arctic Wolf,Managed Detection & Response,api_docs_url,
Arctic Wolf,Managed Detection & Response,supported_clouds,"AWS, Azure, GCP"
Arctic Wolf,Managed Detection & Response,min_deployment_size,100 users (typical minimum)
Arctic Wolf,Managed Detection & Response,free_trial,No (PoC available)
Arctic Wolf,Managed Detection & Response,support_languages,"EN"
Arctic Wolf,Managed Detection & Response,founded_year,2012
Arctic Wolf,Managed Detection & Response,hq_location,"Eden Prairie, MN, USA"
Proofpoint,Email Protection,pricing_model,Per user/year
Proofpoint,Email Protection,pricing_range,Contact sales (~$30-60/user/year)
Proofpoint,Email Protection,encryption_algorithms,"AES-256-GCM, TLS 1.2/1.3, S/MIME"
Proofpoint,Email Protection,api_docs_url,https://help.proofpoint.com/Threat_Insight_Dashboard/API_Documentation
Proofpoint,Email Protection,supported_clouds,"Microsoft 365, Google Workspace, Any (MX relay)"
Proofpoint,Email Protection,min_deployment_size,100 users (typical)
Proofpoint,Email Protection,free_trial,No (demo available)
Proofpoint,Email Protection,support_languages,"EN, DE, FR, ES, JP, IT, PT, KO, ZH"
Proofpoint,Email Protection,founded_year,2002
Proofpoint,Email Protection,hq_location,"Sunnyvale, CA, USA"
Akamai,App & API Protector,pricing_model,Per site/application/year
Akamai,App & API Protector,pricing_range,Contact sales (~$30K-$200K+/year)
Akamai,App & API Protector,encryption_algorithms,"AES-256-GCM, TLS 1.2/1.3, ChaCha20-Poly1305"
Akamai,App & API Protector,api_docs_url,https://techdocs.akamai.com/application-security/reference/api
Akamai,App & API Protector,supported_clouds,Any (CDN/reverse proxy)
Akamai,App & API Protector,min_deployment_size,1 web property
Akamai,App & API Protector,free_trial,No (trial available upon request)
Akamai,App & API Protector,support_languages,"EN, JP, KO, ZH"
Akamai,App & API Protector,founded_year,1998
Akamai,App & API Protector,hq_location,"Cambridge, MA, USA"
Imperva,Cloud WAF,pricing_model,Per site/year
Imperva,Cloud WAF,pricing_range,"$59/site/month (Pro), $229/site/month (Business), Enterprise custom"
Imperva,Cloud WAF,encryption_algorithms,"AES-256-GCM, TLS 1.2/1.3, RSA-2048"
Imperva,Cloud WAF,api_docs_url,https://docs.imperva.com/bundle/cloud-application-security/page/api/api.htm
